day,month,year,mangrove,regular,closed,healthy,unhealthy,total
03,02,2023,255.2912,113.0136,142.2776,255.2912,0.0,984.0996
08,02,2023,381.6656,246.292,135.3736,381.6656,0.0,1086.7496
18,02,2023,0.1336,0.1336,0.0,0.1336,0.0,27.4748
23,02,2023,345.2908,194.5312,150.7596,345.2908,0.0,1086.7492
05,03,2023,349.9148,193.4336,156.4812,349.912,0.0028,1086.6848
25,03,2023,331.5684,205.1932,126.3752,331.5684,0.0,1084.4252
09,04,2023,330.1132,214.0836,116.0296,330.1132,0.0,1016.9232
24,04,2023,341.6304,218.4944,123.136,341.6304,0.0,1052.104
09,05,2023,0.1968,0.0904,0.1064,0.1968,0.0,0.5376
24,05,2023,345.4644,197.038,148.4264,345.4644,0.0,1026.0316
29,05,2023,143.7672,129.0484,14.7188,143.7644,0.0028,299.6996
08,06,2023,339.6632,141.3564,198.3068,339.6632,0.0,1084.5464
13,06,2023,0.174,0.1736,0.0004,0.174,0.0,20.2408
