Year,Month,Rainfall (mm),Mandal
2018,1,0.9839137645107794,Adilabad Rural
2018,2,1.4679487179487178,Adilabad Rural
2018,3,0.2960950764006791,Adilabad Rural
2018,4,0.2819298245614035,Adilabad Rural
2018,5,1.9231028667790895,Adilabad Rural
2018,6,4.549128919860627,Adilabad Rural
2018,7,5.635135135135135,Adilabad Rural
2018,8,12.670657672849915,Adilabad Rural
2018,9,4.10801393728223,Adilabad Rural
2018,10,1.2231028667790893,Adilabad Rural
2018,11,0.9465156794425086,Adilabad Rural
2018,12,6.194618834080718,Adilabad Rural
2019,1,0.1308555399719495,Adilabad Rural
2019,2,0.01847826086956522,Adilabad Rural
2019,3,0.0694249649368864,Adilabad Rural
2019,4,0.21956521739130436,Adilabad Rural
2019,5,0.05960729312762973,Adilabad Rural
2019,6,4.580555555555556,Adilabad Rural
2019,7,11.618100358422938,Adilabad Rural
2019,8,8.233691756272401,Adilabad Rural
2019,9,6.326628352490421,Adilabad Rural
2019,10,2.746953405017921,Adilabad Rural
2019,11,0.15018518518518517,Adilabad Rural
2019,12,0.022939068100358423,Adilabad Rural
2020,1,0.7994623655913979,Adilabad Rural
2020,2,0.13429118773946358,Adilabad Rural
2020,3,1.0768817204301075,Adilabad Rural
2020,4,0.5607407407407408,Adilabad Rural
2020,5,0.4913978494623656,Adilabad Rural
2020,6,4.8062962962962965,Adilabad Rural
2020,7,11.308422939068102,Adilabad Rural
2020,8,8.28853046594982,Adilabad Urban
2020,9,5.2320370370370375,Adilabad Urban
2020,10,2.0480286738351254,Adilabad Urban
2020,11,0.15203703703703703,Adilabad Urban
2020,12,0.00035842293906810036,Adilabad Urban
2021,1,0.01003584229390681,Adilabad Urban
2021,2,0.08273809523809525,Adilabad Urban
2021,3,0.017025089605734768,Adilabad Urban
2021,4,0.3011111111111111,Adilabad Urban
2021,5,0.841725768321513,Adilabad Urban
2021,6,10.624074074074073,Adilabad Urban
2021,7,14.51326164874552,Adilabad Urban
2021,8,8.47078853046595,Adilabad Urban
2021,9,11.725555555555555,Adilabad Urban
2021,10,2.1161290322580646,Adilabad Urban
2021,11,0.7955555555555556,Adilabad Urban
2021,12,0.2670250896057348,Adilabad Urban
2022,1,1.2277777777777779,Adilabad Urban
2022,2,0.026587301587301587,Adilabad Urban
2022,3,0.0053811659192825115,Adilabad Urban
2022,4,0.35611111111111116,Adilabad Urban
2022,5,0.8903225806451613,Adilabad Urban
2022,6,5.770740740740741,Adilabad Urban
2022,7,27.961290322580645,Adilabad Urban
2022,8,6.635125448028674,Adilabad Urban
2022,9,7.857222222222221,Adilabad Urban
2022,10,3.2247311827956993,Adilabad Urban
2022,11,0.0,Adilabad Urban
2022,12,0.22777777777777777,Adilabad Urban
2023,1,0.0,Adilabad Urban
2023,2,0.0,Adilabad Urban
2023,3,0.5019097222222223,Bazarhathnoor
2023,4,1.796415770609319,Bazarhathnoor
2023,5,2.119270833333333,Bazarhathnoor
2023,6,0.0,Bazarhathnoor
2023,7,0.0,Bazarhathnoor
2023,8,0.0,Bazarhathnoor
2023,9,0.0,Bazarhathnoor
2023,10,0.0,Bazarhathnoor
2023,11,0.0,Bazarhathnoor
2023,12,0.0,Bazarhathnoor
